Issue key,Issue id,Summary,Custom field (Bundle Version),Assignee,Created,Priority,Status,Custom field (Moment ID),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI)
MON-2424323,2602344,不合理制动,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-16 11:13 PM,P1,Done,e36a13b9-ef7b-4ea0-8d6e-032a07bfc88a,LSTI-5014,,,,
MON-2424321,2602341,司机反馈，无故频繁刹车,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-16 11:04 PM,P2,Done,536be915-b1f8-4c12-a419-aa3f9d87606c,LSTI-5014,,,,
MON-2424319,2602337,司机描述突然制动降档,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-16 10:49 PM,P2,Done,536be915-b1f8-4c12-a419-aa3f9d87606c,LSTI-5014,,,,
MON-2424309,2602308,【TSAudio】不合理制动,v1.0.9-p6-Beta-20241123-irs2-LQ_4H70_B_VEHICLE_LYRA,zhou.yang,2024-12-16 8:16 PM,P1,Done,d543fa51-a15e-4c3d-9bea-b3ebfb1d633a,,,,,
MON-2424204,2602186,lidar_bpu_lyra_n_module_j5b/LIDAR_BPU_RESULT_PUBLISH_FPS_INVALID/Invalid Value 12.16 LQ_4H70_S_RL808637 累计复现4次，均已关联至此MOMENT中,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,hualei.ma,2024-12-16 5:30 PM,P0,Done,b89dd93b-418e-4ab8-a2b4-9ece8a246f7a,LSTI-5429,,,,
MON-2424202,2602184,road_model_fusion/RF_ERR_INPUT_BOUNDARIES_SHAPE_INCONSISTENT_WITH_MAP/Invalid Value,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,jiawei.huang,2024-12-16 5:30 PM,P0,ReCollect data,691474d3-a297-4fdb-9770-9465746b617e,LSTI-4958,,,,
MON-2424199,2602180,【TSAudio】Fallback,v0.8.96-adlst-0606.patch.19-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-16 5:07 PM,P2,Done,d587d36c-d223-4e86-b5d8-4e35a5190d0e,LSTI-5086,,,,
MON-2424195,2602176,【TSAudio】Fallback,v0.8.96-adlst-0606.patch.10-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-16 4:05 PM,P2,Done,4e9aa75f-2e81-47d0-a956-fab94a287fc9,LSTI-4759,,,,
MON-2424189,2602170,fallback,v0.8.96-adlst-0606.patch.19-irs2-DF_HG01_C_VEHICLE_LYRA,zhou.yang,2024-12-16 3:21 PM,P1,Done,fbb58145-5a0a-42a5-8fae-3f804974a1d6,,,,,
MON-2424176,2602157,【TSAudio】ALC,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-16 1:33 PM,P2,Done,b9aed279-33a3-4496-a7e3-47dfa61237ba,,,,,
MON-2424169,2602148,误触发避让,v0.8.96-adlst-0606.patch.10-irs2-DF_HG01_C_VEHICLE_LYRA,yuhao.zhao,2024-12-16 12:34 PM,P1,Done,6d5538a2-51ab-4cca-99c6-9e9da0b1246b,LSTI-4839,,,,
MON-2424168,2602147,不合理制动,v0.8.96-adlst-0606.patch.19-irs2-DF_HG01_C_VEHICLE_LYRA,zhou.yang,2024-12-16 12:33 PM,P1,Done,fa525358-b891-4147-a128-287bb76fd8f8,,,,,
MON-2424167,2602146,不合理制动,v0.8.96-adlst-0606.patch.19-irs2-LQ_4H70_B_VEHICLE_LYRA,yuhao.zhao,2024-12-16 12:33 PM,P1,Done,a242f259-df6d-4fc3-a336-3c82cd399c86,LSTI-4839,,,,
MON-2424159,2602138,不合理制动,v1.0.9-p6-Beta-20241123-irs2-LQ_4H70_B_VEHICLE_LYRA,zhou.yang,2024-12-16 12:14 PM,P1,Done,834dac72-b7aa-4c02-9a7a-ac763aea1de5,,,,,
MON-2424155,2602134,【TSAudio】不合理制动,v1.0.9-p6-Beta-20241204-irs2-DF_HG01_C_VEHICLE_LYRA,zhou.yang,2024-12-16 11:56 AM,P1,Done,d5b2be26-75ed-484b-b76d-1335d49678dd,,,,,
MON-2424098,2602077,连续误报分心“请注意安全驾驶”,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,feng.long,2024-12-16 7:05 AM,P1,Done,2ab0c45d-6c3d-4c00-97f7-12aa2c6c50e1,,,,,
MON-2424097,2602076,"lidar_bpu_lyra_n_module_j5b,LIDAR_BPU_RESULT_PUBLISH_FPS_INVALID",v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,wan.sun,2024-12-16 7:05 AM,P0,Done,9303d305-84c6-42d7-8088-b7f583d4dd12,LSTI-5429,,,,
MON-2424095,2602074,"lidar_bpu_lyra_n_module_j5b,LIDAR_BPU_RESULT_PUBLISH_FPS_INVALID",v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,wan.sun,2024-12-16 7:05 AM,P0,Done,d67e32dd-1b72-4027-a9ce-0a32ef0a4120,LSTI-5429,,,,
MON-2424094,2602073,"lidar_bpu_lyra_n_module_j5b,LIDAR_BPU_RESULT_PUBLISH_FPS_INVALID",v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,li.ding,2024-12-16 7:05 AM,P0,Done,7ea17cdf-f040-4382-b79a-b1f1db890087,LSTI-5429,,,,
MON-2424093,2602072,lidar_bpu_lyra_n_module_j5bLIDAR_BPU_RESULT_PUBLISH_FPS_INVALID,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,wan.sun,2024-12-16 7:05 AM,P0,Done,80885e12-d442-405f-a76e-2029fbfa2a9e,LSTI-5429,,,,
MON-2424092,2602071,匝道误报请注意路面障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,ryan.han,2024-12-16 7:05 AM,P1,Done,20923ec9-f6a9-4211-be92-1a272c593610,,,,,
MON-2424089,2602068,误报注意路面障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,ryan.han,2024-12-16 7:04 AM,P1,Done,63112a12-7da5-4c9d-9d6c-498b05e606db,,,,,
MON-2424079,2602058,转G3匝道内误报路面障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,ryan.han,2024-12-16 7:03 AM,P1,Done,8eeb32c2-19ca-486a-9b37-4d60af054c8d,,,,,
MON-2424078,2602057,港沟枢纽匝道内误报，注意路面障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,ryan.han,2024-12-16 7:03 AM,P1,Done,38286e1c-ee15-4e4d-b850-5a5efd59c977,,,,,
MON-2424074,2602053,莱芜枢纽匝道内误报障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,,2024-12-16 7:03 AM,P2,Done,d43ad7be-5e88-4487-bb1a-7dfc7cb734ec,LSTI-5559,,,,
MON-2424070,2602049,FB: lidar_bpu_lyra_n_module_j5b/LIDAR_BPU_RESULT_PUBLISH_FPS_INVALID 累计出现7次,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,wan.sun,2024-12-16 6:51 AM,P0,Done,d2bebd78-b52b-472f-b43c-fe767789e756,LSTI-5429,,,,
MON-2424063,2602042,匝道内误报注意路面障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,,2024-12-16 6:51 AM,P2,Done,27a414c9-4fd7-4ed1-a08a-e1f4e0e2df88,LSTI-5559,,,,
MON-2424058,2602037,G2心态枢纽匝道内误报注意路面障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,,2024-12-16 6:49 AM,P2,Done,62be8072-649d-4947-a655-4a6b1635b398,LSTI-5559,,,,
MON-2424048,2602027,苗山上匝道内误报：请注意路面障碍物,v1.1.10-Alpha-20241213-irs2-COMMON_LYRA,,2024-12-16 6:48 AM,P0,Done,40d08738-c6c2-4bdb-b236-902b83c50a40,LSTI-5559,,,,
MON-2423967,2601927,【MPD0】非预期,v0.8.96-adlst-0606.patch.20-irs2-FT_ESTN_B_VEHICLE_LYRA,jingpeng.sun,2024-12-16 3:15 AM,P0,Done,e668fe73-4cf1-4f3a-bab4-b6715a574767,LSTI-4376,,,,
MON-2423928,2601867,隧道内突然减速,v0.8.96-adlst-0606.patch.8-irs2-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-16 12:52 AM,P2,Done,aa482f55-2d12-4b19-8c72-6c9730cc4647,,,,,
MON-2423926,2601865,质量分析-每日异常指标KA-重刹干预,v0.8.96-adlst-0606.patch.18-2-gcf15adbf0-irs2-97984fbd-CNHTC_Z19X_T_VEHICLE_M51_LC,jingpeng.sun,2024-12-16 12:52 AM,P1,Done,6555d1ac-29b4-4dc4-9fcc-0fb166054ba4,LSTI-5249,,,,
MON-2423925,2601864,质量分析-每日异常指标KA-重刹干预,v0.8.96-adlst-0606.patch.18-2-gcf15adbf0-irs2-97984fbd-CNHTC_Z19X_T_VEHICLE_M51_LC,jingpeng.sun,2024-12-16 12:50 AM,P1,Done,4a8c923e-b374-4806-95d4-842a34127e21,LSTI-5249,,,,
